"f_9","Points:0","Points:1","Points:2"
300.11,0.125,0.34375,0
300.11,0.15625,0.34375,0
300.11,0.1875,0.34375,0
300.11,0.21875,0.34375,0
300.1,0.25,0.34375,0
300.1,0.28125,0.34375,0
300.1,0.3125,0.34375,0
300.1,0.34375,0.34375,0
300.09,0.375,0.34375,0
300.09,0.40625,0.34375,0
300.09,0.4375,0.34375,0
300.09,0.46875,0.34375,0
300.09,0.5,0.34375,0
300.09,0.53125,0.34375,0
300.08,0.5625,0.34375,0
300.08,0.59375,0.34375,0
300.08,0.625,0.34375,0
300.08,0.65625,0.34375,0
300.08,0.6875,0.34375,0
300.08,0.71875,0.34375,0
300.08,0.75,0.34375,0
300.08,0.78125,0.34375,0
300.07,0.8125,0.34375,0
300.07,0.84375,0.34375,0
300.07,0.875,0.34375,0
300.07,0.90625,0.34375,0
300.07,0.9375,0.34375,0
300.07,0.96875,0.34375,0
300.07,1,0.34375,0
300.12,0,0.375,0
300.12,0.03125,0.375,0
300.12,0.0625,0.375,0
300.12,0.09375,0.375,0
300.12,0.125,0.375,0
300.12,0.15625,0.375,0
300.12,0.1875,0.375,0
300.11,0.21875,0.375,0
300.11,0.25,0.375,0
300.11,0.28125,0.375,0
300.11,0.3125,0.375,0
300.1,0.34375,0.375,0
300.1,0.375,0.375,0
300.1,0.40625,0.375,0
300.1,0.4375,0.375,0
300.09,0.46875,0.375,0
300.09,0.5,0.375,0
300.09,0.53125,0.375,0
300.09,0.5625,0.375,0
300.09,0.59375,0.375,0
300.09,0.625,0.375,0
300.08,0.65625,0.375,0
300.08,0.6875,0.375,0
300.08,0.71875,0.375,0
300.08,0.75,0.375,0
300.08,0.78125,0.375,0
300.08,0.8125,0.375,0
300.08,0.84375,0.375,0
300.08,0.875,0.375,0
300.08,0.90625,0.375,0
300.08,0.9375,0.375,0
300.08,0.96875,0.375,0
300.08,1,0.375,0
300.13,0,0.40625,0
300.13,0.03125,0.40625,0
300.13,0.0625,0.40625,0
300.13,0.09375,0.40625,0
300.13,0.125,0.40625,0
300.12,0.15625,0.40625,0
300.12,0.1875,0.40625,0
300.12,0.21875,0.40625,0
300.12,0.25,0.40625,0
300.12,0.28125,0.40625,0
300.11,0.3125,0.40625,0
300.11,0.34375,0.40625,0
300.11,0.375,0.40625,0
300.11,0.40625,0.40625,0
300.1,0.4375,0.40625,0
300.1,0.46875,0.40625,0
300.1,0.5,0.40625,0
300.1,0.53125,0.40625,0
300.1,0.5625,0.40625,0
300.09,0.59375,0.40625,0
300.09,0.625,0.40625,0
300.09,0.65625,0.40625,0
300.09,0.6875,0.40625,0
300.09,0.71875,0.40625,0
300.09,0.75,0.40625,0
300.09,0.78125,0.40625,0
300.09,0.8125,0.40625,0
300.08,0.84375,0.40625,0
300.08,0.875,0.40625,0
300.08,0.90625,0.40625,0
300.08,0.9375,0.40625,0
300.08,0.96875,0.40625,0
300.08,1,0.40625,0
300.14,0,0.4375,0
300.14,0.03125,0.4375,0
300.14,0.0625,0.4375,0
300.13,0.09375,0.4375,0
300.13,0.125,0.4375,0
300.13,0.15625,0.4375,0
300.13,0.1875,0.4375,0
300.13,0.21875,0.4375,0
300.12,0.25,0.4375,0
300.12,0.28125,0.4375,0
300.12,0.3125,0.4375,0
300.12,0.34375,0.4375,0
300.11,0.375,0.4375,0
300.11,0.40625,0.4375,0
300.11,0.4375,0.4375,0
300.11,0.46875,0.4375,0
300.1,0.5,0.4375,0
300.1,0.53125,0.4375,0
300.1,0.5625,0.4375,0
300.1,0.59375,0.4375,0
300.1,0.625,0.4375,0
300.1,0.65625,0.4375,0
300.09,0.6875,0.4375,0
300.09,0.71875,0.4375,0
300.09,0.75,0.4375,0
300.09,0.78125,0.4375,0
300.09,0.8125,0.4375,0
300.09,0.84375,0.4375,0
